,Gaming Laptop Name,Processor,Ram,Display,Storage,Rating,Price
10,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,"<li class=""rgWa7D"">Intel Core i5 Processor (10th Gen)</li>","<li class=""rgWa7D"">8 GB DDR4 RAM</li>","<li class=""rgWa7D"">39.62 cm (15.6 inch) Display</li>","<li class=""rgWa7D"">512 GB SSD</li>","<div class=""_3LWZlK"">4.4<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹58,990</div>"
11,ASUS TUF Gaming F17 (2022) Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"<li class=""rgWa7D"">Intel Core i7 Processor (12th Gen)</li>","<li class=""rgWa7D"">16 GB DDR5 RAM</li>","<li class=""rgWa7D"">43.94 cm (17.3 Inch) Display</li>","<li class=""rgWa7D"">1 TB SSD</li>","<div class=""_3LWZlK"">4.3<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹1,14,990</div>"
12,ASUS TUF Gaming F15 (2023) with 90WHr Battery Intel H-Series Core i7 12th Gen - (16 GB/512 GB SSD/Wind...,"<li class=""rgWa7D"">Intel Core i7 Processor (12th Gen)</li>","<li class=""rgWa7D"">16 GB DDR4 RAM</li>","<li class=""rgWa7D"">39.62 cm (15.6 Inch) Display</li>","<li class=""rgWa7D"">512 GB SSD</li>","<div class=""_3LWZlK"">4.6<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹1,15,990</div>"
13,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,"<li class=""rgWa7D"">Intel Core i5 Processor (10th Gen)</li>","<li class=""rgWa7D"">8 GB DDR4 RAM</li>","<li class=""rgWa7D"">39.62 cm (15.6 Inch) Display</li>","<li class=""rgWa7D"">512 GB SSD</li>","<div class=""_3LWZlK"">4.4<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹55,990</div>"
14,"ASUS Vivobook 16X (2023) For Creator, Intel H-Series Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 H...","<li class=""rgWa7D"">Intel Core i5 Processor (12th Gen)</li>","<li class=""rgWa7D"">16 GB DDR4 RAM</li>","<li class=""rgWa7D"">40.64 cm (16 Inch) Display</li>","<li class=""rgWa7D"">512 GB SSD</li>","<div class=""_3LWZlK"">4.3<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹71,990</div>"
15,ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7-6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Grap...,"<li class=""rgWa7D"">AMD Ryzen 7 Octa Core Processor</li>","<li class=""rgWa7D"">16 GB DDR5 RAM</li>","<li class=""rgWa7D"">39.62 cm (15.6 Inch) Display</li>","<li class=""rgWa7D"">512 GB SSD</li>","<div class=""_3LWZlK"">4.4<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹86,990</div>"
16,ASUS TUF Gaming F17 (2022) with 90Whr Battery Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 G...,"<li class=""rgWa7D"">Intel Core i5 Processor (12th Gen)</li>","<li class=""rgWa7D"">16 GB DDR5 RAM</li>","<li class=""rgWa7D"">43.94 cm (17.3 Inch) Display</li>","<li class=""rgWa7D"">512 GB SSD</li>","<div class=""_3LWZlK"">4.4<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹94,990</div>"
17,ASUS TUF Gaming A15 (2023) with 90WHr Battery Ryzen 7 Octa Core 7735HS - (16 GB/512 GB SSD/Windows 11 ...,"<li class=""rgWa7D"">AMD Ryzen 7 Octa Core Processor</li>","<li class=""rgWa7D"">16 GB DDR5 RAM</li>","<li class=""rgWa7D"">39.62 cm (15.6 Inch) Display</li>","<li class=""rgWa7D"">512 GB SSD</li>","<div class=""_3LWZlK"">5<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹1,02,990</div>"
18,ASUS ROG Zephyrus G14 with 76WHr Battery Ryzen 9 Octa Core 5900HS - (16 GB/1 TB SSD/Windows 10 Home/6 ...,"<li class=""rgWa7D"">AMD Ryzen 9 Octa Core Processor</li>","<li class=""rgWa7D"">16 GB DDR4 RAM</li>","<li class=""rgWa7D"">35.56 cm (14 Inch) Display</li>","<li class=""rgWa7D"">1 TB SSD</li>","<div class=""_3LWZlK"">4.8<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹1,09,990</div>"
19,ASUS TUF Gaming F15 with 90WHr Battery Intel H-Series Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Ho...,"<li class=""rgWa7D"">Intel Core i7 Processor (12th Gen)</li>","<li class=""rgWa7D"">16 GB DDR5 RAM</li>","<li class=""rgWa7D"">39.62 cm (15.6 Inch) Display</li>","<li class=""rgWa7D"">1 TB SSD</li>","<div class=""_3LWZlK"">4.3<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹96,990</div>"
20,ASUS ROG Zephyrus G14 with 76WHr Battery Ryzen 9 Octa Core 5900HS - (16 GB/1 TB SSD/Windows 10 Home/4 ...,"<li class=""rgWa7D"">AMD Ryzen 9 Octa Core Processor</li>","<li class=""rgWa7D"">16 GB DDR4 RAM</li>","<li class=""rgWa7D"">35.56 cm (14 Inch) Display</li>","<li class=""rgWa7D"">1 TB SSD</li>","<div class=""_3LWZlK"">4<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹99,990</div>"
21,ASUS TUF Gaming A15 with 90Whr Battery Ryzen 7 Octa Core 6800HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB...,"<li class=""rgWa7D"">AMD Ryzen 7 Octa Core Processor</li>","<li class=""rgWa7D"">16 GB DDR4 RAM</li>","<li class=""rgWa7D"">39.62 cm (15.6 Inch) Display</li>","<li class=""rgWa7D"">1 TB SSD</li>","<div class=""_3LWZlK"">4.3<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹1,04,990</div>"
22,"ASUS Vivobook 14X OLED (2023) For Creator, Intel H-Series Core i5 13th Gen - (16 GB/512 GB SSD/Windows...","<li class=""rgWa7D"">Intel Core i5 Processor (13th Gen)</li>","<li class=""rgWa7D"">16 GB DDR4 RAM</li>","<li class=""rgWa7D"">35.56 cm (14 Inch) Display</li>","<li class=""rgWa7D"">512 GB SSD</li>","<div class=""_3LWZlK"">4.3<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹82,990</div>"
23,ASUS ROG Flow Z13 (2022) Core i9 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"<li class=""rgWa7D"">Intel Core i9 Processor (12th Gen)</li>","<li class=""rgWa7D"">16 GB LPDDR5 RAM</li>","<li class=""rgWa7D"">34.04 cm (13.4 Inch) Touchscreen Display</li>","<li class=""rgWa7D"">1 TB SSD</li>","<div class=""_3LWZlK"">5<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹1,61,990</div>"
